parent_institution_name,prodi_name,jenjang,wilayah,no_sk,tahun_sk,akreditasi_prodi,tanggal_kadaluarsa
Sekolah Tinggi Islam Kendal (STIK),Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAS,6691/SK/BAN-PT/Ak/S/X/2022,2022,Baik,2027-10-04
STAIN Tengku Dirundeng Meulaboh,Pengembangan Masyarakat Islam,S1,PTAN,6704/SK/BAN-PT/Ak/S/X/2022,2022,Baik,2027-10-04
Sekolah Tinggi Ilmu Hukum YPM,Hukum,S1,10,6684/SK/BAN-PT/Ak/S/X/2022,2022,Baik,2027-10-04
Universitas Muslim Buton,Pendidikan Biologi,S1,09,6676/SK/BAN-PT/Ak/S/X/2022,2022,Baik,2027-10-04
Universitas Mahaputra Muhammad Yamin,Agroteknologi,S1,10,6674/SK/BAN-PT/Ak.Ppj/S/X/2022,2022,Baik Sekali,2027-10-04
Institut Agama Islam Ma'arif NU (IAIMNU) Metro Lampung,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAS,6675/SK/BAN-PT/Ak.Ppj/S/X/2022,2022,Baik Sekali,2027-10-04
Sekolah Tinggi Ilmu Ekonomi Bisnis Indonesia,Manajemen,S1,03,6681/SK/BAN-PT/Ak/S/X/2022,2022,Baik,2027-10-04
Institut Agama Islam Al Zaytun Indonesia,Pendidikan Guru Madrasah Ibtidiyah,S1,PTAS,6688/SK/BAN-PT/Ak/S/X/2022,2022,Baik,2027-10-04
Sekolah Tinggi Agama Islam Negeri Mandailing Natal,Manajemen Pendidikan Islam,S1,PTAN,6685/SK/BAN-PT/Ak/S/X/2022,2022,Baik,2027-10-04
"Sekolah Tinggi Agama Islam (STAI) Khozinatul Ulum, Blora, Jawa Tengah",Perbankan Syariah,S1,PTAS,6696/SK/BAN-PT/Ak/S/X/2022,2022,Baik,2027-10-04
Universitas Airlangga,Ilmu Sejarah,S1,PTN,6705/SK/BAN-PT/Ak.Ppj/S/X/2022,2022,Unggul,2027-10-04
Institut Agama Islam Hamzanwadi NW Pancor Lombok Timur,Hukum Ekonomi Syari`ah (Mu`amalah),S1,PTAS,6670/SK/BAN-PT/Ak.Ppj/S/X/2022,2022,Baik,2027-10-04
Universitas Islam Makassar,Komunikasi Dan Penyiaran Islam,S1,09,6672/SK/BAN-PT/Ak.Ppj/S/X/2022,2022,Baik,2027-10-04
STAI Ma`had Aly Al-Hikam Malang,Pendidikan Agama Islam,S2,PTAS,6699/SK/BAN-PT/Ak/M/X/2022,2022,Baik,2027-10-04
Sekolah Tinggi Ilmu Tarbiyah Muhammad Mardiyana,Pendidikan Islam Anak Usia Dini,S1,PTAS,6679/SK/BAN-PT/Ak/S/X/2022,2022,Baik,2027-10-04
Politeknik Pelayaran Sorong,Manajemen Transportasi Laut,D-III,PTKL,6682/SK/BAN-PT/Ak/D3/X/2022,2022,Baik,2027-10-04
Universitas Negeri Makassar,Teknik Mesin,D-IV,PTN,6697/SK/BAN-PT/Ak/STr/X/2022,2022,Baik,2027-10-04
STMIK Widya Utama,Komputerisasi Akuntansi,D-III,06,6701/SK/BAN-PT/Ak/D3/X/2022,2022,Baik,2027-10-04
Universitas Muhammadiyah Metro,Pendidikan Biologi,S2,02,6694/SK/BAN-PT/Ak/M/X/2022,2022,Baik Sekali,2027-10-04
Politeknik Pelayaran Malahayati,Sistem Kelistrikan Kapal,D-III,PTKL,6686/SK/BAN-PT/Ak/D3/X/2022,2022,Baik,2027-10-04
Universitas Muhammadiyah Metro,Akuntansi,S1,02,6690/SK/BAN-PT/Ak/S/X/2022,2022,Baik,2027-10-04
Universitas Negeri Gorontalo,Manajemen Sumber Daya Perairan,S1,PTN,6706/SK/BAN-PT/Ak.KP/S/X/2022,2022,Unggul,2026-12-21
Universitas Islam Negeri Kiai Haji Achmad Siddiq Jember,Ilmu Hadis,S1,PTAN,6703/SK/BAN-PT/Ak/S/X/2022,2022,Unggul,2027-10-04
STAI DDI Majene,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAS,9811/SK/BAN-PT/Ak.KP/S/XI/2022,2022,Baik,2025-12-01
Universitas Riau Kepulauan,Teknik Mesin,S1,17,6897/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,2026-09-30
STMIK Logika,Teknik Informatika,S1,01,6842/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,2026-09-03
Politeknik PGRI Banten,Teknik Mesin,D-III,04,6993/SK/BAN-PT/Ak.KP/D3/X/2022,2022,Baik,2026-09-03
Universitas Pandanaran,Administrasi Niaga,D-III,06,6995/SK/BAN-PT/Ak.KP/D3/X/2022,2022,Baik,2026-05-21
Universitas Pattimura,Perencanaan Wilayah Dan Kota,S1,PTN,6843/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,2026-04-28
IAIN Ternate,Ilmu Al-Quran Dan Tafsir,S1,PTAN,6998/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,2026-04-21
