quipper_code,rencanamu_code,banpt_code,pddikti_code,faculty,prodi,prodi_normalized,edu_level,accreditation,institution_code,cluster_kmodes,cluster_category
-,-,banpt-494,-,-,GIZI,GIZI,S1,BAIK,337,0,Ekonomi & Bisnis
-,-,banpt-494,-,-,KEBIDANAN,KEBIDANAN,S1,BAIK,337,0,Ekonomi & Bisnis
-,-,banpt-494,-,-,ILMU KEPERAWATAN,KEPERAWATAN,S1,BAIK SEKALI,337,0,Ekonomi & Bisnis
quipper-378,-,-,-,FAKULTAS ILMU SOSIAL DAN ILMU POLITIK,ILMU ADMINISTRASI,ADMINISTRASI,S1,-,802,0,Ekonomi & Bisnis
-,-,banpt-3418,-,-,ADMINISTRASI BISNIS,ADMINISTRASI BISNIS,S1,B,802,0,Ekonomi & Bisnis
-,rencanamu-210,-,-,-,ILMU ADMINISTRASI NEGARA,ADMINISTRASI NEGARA,S1,B,802,0,Ekonomi & Bisnis
-,rencanamu-210,-,-,-,ILMU ADMINISTRASI NIAGA,ADMINISTRASI NIAGA,S1,B,802,0,Ekonomi & Bisnis
-,-,banpt-3418,-,-,ADMINISTRASI PUBLIK,ADMINISTRASI PUBLIK,S1,B,802,0,Ekonomi & Bisnis
quipper-378,rencanamu-210,banpt-3418,-,FAKULTAS ILMU KESEHATAN,FARMASI,FARMASI,S1,C,802,0,Ekonomi & Bisnis
quipper-378,rencanamu-210,banpt-3418,-,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,FISIKA,FISIKA,S1,B,802,2,Pendidikan & Keguruan
quipper-378,rencanamu-210,banpt-3418,-,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,GEOGRAFI,GEOGRAFI,S1,B,802,2,Pendidikan & Keguruan
-,-,banpt-3418,-,-,TEKNIK GEOLOGI,GEOLOGI,S1,BAIK,802,0,Ekonomi & Bisnis
quipper-378,-,banpt-3418,-,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,PENDIDIKAN GURU SEKOLAH DASAR,GURU SEKOLAH DASAR,S1,BAIK SEKALI,802,2,Pendidikan & Keguruan
quipper-378,rencanamu-210,banpt-3418,-,FAKULTAS HUKUM,ILMU HUKUM,HUKUM,S1,B,802,3,Hukum
quipper-378,-,-,-,FAKULTAS AGAMA ISLAM,ILMU KOMUNIKASI,ILMU KOMUNIKASI,S1,-,802,0,Ekonomi & Bisnis
quipper-378,rencanamu-210,banpt-3418,-,FAKULTAS ILMU SOSIAL DAN ILMU POLITIK,ILMU PERPUSTAKAAN,ILMU PERPUSTAKAAN,S1,B,802,0,Ekonomi & Bisnis
quipper-378,rencanamu-210,banpt-3418,-,FAKULTAS ILMU KESEHATAN,KEBIDANAN,KEBIDANAN,S1,C,802,0,Ekonomi & Bisnis
-,-,banpt-3418,-,-,MANAJEMEN RITEL,MANAJEMEN RITEL,S1,BAIK,802,0,Ekonomi & Bisnis
-,rencanamu-210,banpt-3418,-,-,PENDIDIKAN MATEMATIKA,MATEMATIKA,S1,C,802,0,Ekonomi & Bisnis
-,rencanamu-210,banpt-3418,-,-,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,PANCASILA KEWARGANEGARAAN,S1,B,802,0,Ekonomi & Bisnis
quipper-378,rencanamu-210,banpt-3418,-,FAKULTAS ILMU SOSIAL DAN ILMU POLITIK,ILMU PEMERINTAHAN,PEMERINTAHAN,S1,B,802,0,Ekonomi & Bisnis
quipper-378,rencanamu-210,banpt-3418,-,FAKULTAS TEKNIK,PERENCANAAN WILAYAH DAN KOTA,PERENCANAAN WILAYAH KOTA,S1,B,802,1,Teknik & Rekayasa
quipper-378,rencanamu-210,banpt-3418,-,FAKULTAS TEKNIK,TEKNIK PERTAMBANGAN,PERTAMBANGAN,S1,C,802,1,Teknik & Rekayasa
quipper-378,rencanamu-210,banpt-3418,-,FAKULTAS PERTANIAN,TEKNIK PERTANIAN,PERTANIAN,S1,B,802,0,Ekonomi & Bisnis
quipper-378,-,-,-,FAKULTAS AGAMA ISLAM,SASTRA ARAB,SASTRA ARAB,S1,-,802,0,Ekonomi & Bisnis
quipper-378,rencanamu-210,banpt-3418,-,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,SEJARAH,SEJARAH,S1,C,802,2,Pendidikan & Keguruan
quipper-378,rencanamu-210,banpt-3418,-,FAKULTAS TEKNIK,TEKNIK SIPIL,SIPIL,S1,B,802,1,Teknik & Rekayasa
-,-,banpt-3418,-,-,SISTEM DAN TEKNOLOGI INFORMASI,SISTEM INFORMASI,S1,BAIK,802,0,Ekonomi & Bisnis
quipper-378,-,-,-,FAKULTAS PERTANIAN,ILMU DAN TEKNOLOGI PANGAN,TEKNOLOGI PANGAN,S1,-,802,0,Ekonomi & Bisnis
-,-,banpt-1315,-,-,PENDIDIKAN BIOLOGI,BIOLOGI,S1,B,1163,0,Ekonomi & Bisnis
-,-,banpt-1315,-,-,BISNIS DIGITAL,BISNIS DIGITAL,S1,BAIK,1163,0,Ekonomi & Bisnis
